Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
2048 Game,2554,237,57.0,1040,1430,750,0.4264705882352941,182
Egyptian Realms,2564,248,4.0,940,1430,750,0.27941176470588236,195
TermiCoach,2575,264,74.0,1171,1394,809,0.6188034188034188,67
Hole Digger,2576,777,618.0,1155,1340,897,0.582392776523702,34
Dogs Summit,2596,290,19.0,1024,1430,750,0.40294117647058825,158
Square Game,2598,562,145.0,1095,1430,754,0.5044378698224852,113
Portfolio,2602,339,100.0,1040,1430,754,0.4230769230769231,116
Filmfinder,2618,296,41.0,1070,1430,750,0.47058823529411764,174
Flabby Bird,2625,263,13.0,1074,1430,787,0.4463452566096423,101
TailMe,2701,462,46.0,1042,1430,750,0.4294117647058823,147
Fooda,2709,767,622.0,1138,1340,911,0.5291375291375291,28
Grubby Project,2714,896,15.0,1072,1420,806,0.43322475570032576,82
flippy,2716,678,603.0,1210,1407,809,0.6705685618729097,74
Shurgbee Personal Website,2726,558,142.0,1172,1430,787,0.5987558320373251,98
OrangeGreen (bio),2733,269,3.0,923,1430,750,0.25441176470588234,227
scam-website-templates,2740,511,230.0,1128,1430,750,0.5558823529411765,148
 portfolio,2746,634,17.0,1111,1430,787,0.5038880248833593,100
OpenResume,2747,271,4.0,1149,1430,750,0.586764705882353,275
Rock Paper Scissors Lizard Spock,2774,301,22.0,1160,1340,913,0.5784543325526932,24
Rock Paper Scissors Lizard Spock,2774,333,2.0,1160,1340,913,0.5784543325526932,24
Rock Paper Scissors Lizard Spock,2774,527,1.0,1160,1340,913,0.5784543325526932,24
TheUnspokenProject,2781,577,197.0,1145,1346,822,0.6164122137404581,52
AI Flashcards,2812,298,70.0,1076,1430,750,0.47941176470588237,165
Annova X75 Website,2814,409,93.0,1089,1430,750,0.4985294117647059,150
Defend Against The Hackers!,2827,284,116.0,968,1430,762,0.3083832335329341,109
DigiPod Website,2882,592,140.0,1165,1420,798,0.590032154340836,88
Swirl Website,2886,354,8.0,1013,1430,750,0.38676470588235295,196
PrimeVector - new fast algorithm for GCD and LCM,2895,541,237.0,1247,1369,813,0.7805755395683454,56
Simon Game,2897,297,2.0,1014,1346,839,0.34516765285996054,44
VSCode Summer of Making timer,2905,309,58.0,1200,1430,750,0.6617647058823529,159
NeuralNewsTweets,2946,689,511.0,1082,1346,839,0.47928994082840237,44
Mono ,2949,468,18.0,1041,1407,809,0.3879598662207358,74
Mono ,2949,517,7.0,1041,1407,809,0.3879598662207358,74
Typing Speed Test,2957,324,114.0,1193,1430,750,0.6514705882352941,157
